text	start	end	label	
Запустят регулярные рейсы между Москвой и Кызылордой.	42	52	city	Кызылордой
Запустят регулярные рейсы между Москвой и Кызылордой.	32	39	city	Москвой
В Кызылорду прибыли новые спецмашины неотложки.	2	11	city	Кызылорду
В Кызылорде семья не может доказать, что их 15 летнюю дочь изнасиловали.	2	11	city	Кызылорде
26 летний отец двоих детей из Кызылорды уже 2 года борется с загадочной болезнью.	30	39	city	Кызылорды
Жителей Кызылорды наградили юбилейными медалями Астана 20 жыл.	8	17	city	Кызылорды
Больно видеть ее страдания Выпускница впала в депрессию после провала на ЕНТ в Кызылорде.	79	88	city	Кызылорде
В Кызылорде впервые по республике был проведен конкурс Лучший уполномоченный по этике.	2	11	city	Кызылорде
В общежитии колледжа Кызылорды незаконно проживали чужие студенты.	21	30	city	Кызылорды
В Кызылорде модернизируют школьные столовые, создав для детей систему здорового питания.	2	11	city	Кызылорде
В Кызылорде определены победители Мерейлі отбасы.	2	11	city	Кызылорде
В Кызылорде педагог сняла анимационный фильм к 200 летию города.	2	11	city	Кызылорде
Громкое дело о хищении нефти в Кызылорде Подсудимым вынесен приговор.	31	40	city	Кызылорде
Громкое дело о хищении нефти в Кызылорде Подсудимым вынесен приговор.	31	40	city	Кызылорде
Миллион тенге за работу уборщицы.				
Мужчина скончался от менингита в Кызылорде.	33	42	city	Кызылорде
В Кызылорде прошло состязание между семьями госслужащих.	2	11	city	Кызылорде
В Кызылорде почтили память жертв политических репрессий.	2	11	city	Кызылорде
По делу о захвате авто акима Кызылорды огласили приговор.	29	38	city	Кызылорды
В Кызылорде женщина закидала камнями мужчину с бородой, пытавшегося украсть 11 летнюю школьницу.	2	11	city	Кызылорде
Фестиваль по робототехнике прошел в Кызылорде.	36	45	city	Кызылорде
Минздрав взял на контроль ситуацию с ребенком, летевшим на лечение в Данию.	69	74	LOC	Данию
Пытавшийся скрыть тело убитого знакомого осужден на 10 лет в Кызылорде.	61	70	city	Кызылорде
Минздрав взял на контроль ситуацию с ребенком, летевшим на лечение в Данию.	0	8	ORG	Минздрав
В Кызылорду прибыли новые спецмашины неотложки.	2	11	city	Кызылорду
В Кызылорде семья не может доказать, что их 15 летнюю дочь изнасиловали.	2	11	city	Кызылорде
В Кызылорде впервые по республике был проведен конкурс Лучший уполномоченный по этике.	2	11	city	Кызылорде
В Кызылорде прошло состязание между семьями госслужащих.	2	11	city	Кызылорде
Ребенок был жив Подробности смертельного ДТП с младенцем на трассе Павлодар Кызылорда.	76	85	city	Кызылорда
Ребенок был жив Подробности смертельного ДТП с младенцем на трассе Павлодар Кызылорда.	67	75	city	Павлодар
Лошади украсили навозом центральную площадь в Кызылорде виновных ищут.	46	55	city	Кызылорде
Полиция нашла пропавшего в Кызылорде молодого официанта.	27	36	city	Кызылорде
В полиции прокомментировали исчезновение официанта в Кызылорде.	53	62	city	Кызылорде
Официант бесследно исчез в Кызылорде.	27	36	city	Кызылорде
